0,1,2,3,4,5,6,7,8
1,,Mateo Acosta,4,,1,3,66.67,
2,,Maximiliano Romero,3,,0,3,66.67,
3,,Pablo Ruiz,2,,8,8,25,
4,,Alan Bonansea,2,,3,7,28.57,
5,,Gastón Gerzel,2,,12,12,16.67,
6,,Hernán Rivero,2,,1,5,40,
7,,Luis Silba,2,,2,7,28.57,
8,,Diego Aguirre,2,,2,6,33.33,
9,,Matías Machado,2,,3,3,66.67,
10,,Brian Nicolás Ferreyra,2,,1,2,100,
11,,Alejandro Gabriel Quintana,2,,4,3,66.67,
12,,Esteban Fernández,1,,,,,
13,,Facundo Pereyra,1,,,,,
14,,Bruno Nasta,1,,,,,
15,,Alexander Sosa,1,,,,,
16,,Augustin Paz,1,,,,,
17,,Luciano Ferreyra,1,,10,3,33.33,
18,,Facundo Cardozo,1,,4,2,50,
19,,Agustín Benítez,1,,6,2,50,
20,,Marcos Astina,1,,8,10,10,
