Rank,Equipo,Nombre,Goles,Dribbles Exitosos,Tackles,Asistencias,Precisión Pases %,Rating
1,Tristán Suárez,Pablo Ruiz,2,8,,1,78.38,
2,Patronato,Luciano Pacco,0,4,,0,77.78,
3,Club Atlético Chacarita Juniors,Agustín Araujo,0,13,,1,74.7,
4,Chaco For Ever,Leonardo Marinucci,0,11,,2,74.67,
5,Gimnasia Jujuy,Nicolas Diego Dematei,0,3,,0,82.96,
6,Racing de Córdoba,German Gaston Diaz,0,11,,1,74.11,
7,All Boys,Tiago Libares,0,1,,0,80.33,
8,Atlanta,Juan Rago,0,0,,0,81.25,
9,Deportivo Madryn,Federico Recalde,0,5,,1,87.5,
10,Patronato,Alan Bonansea,2,3,,1,70.21,
11,Club Atletico Colón,Cristian Bernardi,0,11,,2,75,
12,Deportivo Madryn,Nazareno Solis,0,8,,0,79.13,
13,Mitre,Lucas Ríos,0,10,,0,70.69,
14,San Martín de Tucumán,Darío Sand,0,0,,0,75.44,
15,Gimnasia y Esgrima Mendoza,Facundo Nadalín,0,1,,1,84.85,
16,Los Andes,Gastón Gerzel,2,12,,0,54.43,
17,Chaco For Ever,Maximiliano Romero,3,0,,0,69.57,
18,Nueva Chicago,Gustavo Fernández,0,7,,0,72.22,
19,Club Atletico Colón,Nicolás Thaller,0,0,,0,80.82,
20,Chaco For Ever,Gastón Canuto,0,0,,0,84.21,
21,San Miguel,Daniel Sappa,0,0,,0,81.08,
22,Tristán Suárez,Nicolás Sumavil,0,0,,0,83.33,
23,Temperley,Leandro Lucero,0,1,,0,79.63,
24,Temperley,Luciano Nieto,0,5,,0,78.9,
25,Defensores de Belgrano,Gustavo Mendoza,0,4,,0,73.5,
26,Central Norte de Salta,Emmanuel Giménez,0,0,,0,77.78,
27,Central Norte de Salta,Luciano Ferreyra,1,10,,1,67.5,
28,San Miguel,Facundo Cardozo,1,4,,0,70.11,
29,Defensores de Belgrano,Agustín Benítez,1,6,,0,73.74,
30,Chaco For Ever,Brandon Obregon,0,1,,1,66.67,
31,Club Atletico Colón,Guillermo Ortíz,0,1,,0,82.76,
32,All Boys,Jonathan Ferrari,0,0,,0,84.78,
33,Gimnasia y Esgrima Mendoza,Lautaro Petruchi,0,0,,0,84.75,
34,San Telmo,Marcos Astina,1,8,,1,68.89,
35,Club Atletico Colón,Marcos Díaz,0,0,,0,86.79,
36,Gimnasia y Esgrima Mendoza,Diego Mondino,0,0,,0,80.53,
37,Club Ferro Carril Oeste,Alan Lorenzo,0,1,,0,87.25,
38,Atlanta,Caín Fara,0,1,,0,77.88,
39,Club Atletico Colón,Brian Negro,1,0,,0,75,
40,Deportivo Maipú,Ignacio Pietrobono,0,2,,0,78.21,
41,Estudiantes de Río Cuarto,Javier Ferreira,1,0,,0,64.71,
42,Deportivo Morón,Yair González,1,14,,0,62.07,
43,Defensores de Belgrano,Agustín Massaccesi,1,0,,0,83.58,
44,Defensores de Belgrano,Fernando Rodríguez,0,4,,1,65.56,
45,Racing de Córdoba,Leandro Fernandez,1,1,,1,71.28,
46,Deportivo Maipú,Marcelo Eggel,1,5,,0,79.28,
47,All Boys,Juan Pablo Passaglia,0,3,,0,80.23,
48,Club Ferro Carril Oeste,Gabriel Ramirez,0,1,,0,86.21,
49,Atlanta,Santiago Coronel,0,4,,0,80,
50,Los Andes,Tomás Pérez,1,5,,1,58.33,
51,Mitre,Santiago Rosales,0,1,,0,72.97,
52,Estudiantes de Buenos Aires,Hugo Silva,0,1,,0,80.33,
53,Estudiantes de Río Cuarto,Mauro Valiente,1,13,,0,58.06,
54,Club Atlético Chacarita Juniors,Juan Gonzalez,0,2,,0,72.87,
55,Alvarado,Brian Blasi,0,2,,0,72.94,
56,Club Ferro Carril Oeste,Rodrigo Ayala,0,1,,0,67.13,
57,Alvarado,Mateo Ortale,0,7,,0,76.47,
58,Colegiales,Leandro Martínez Montagnoli,0,0,,0,73.13,
59,Estudiantes de Buenos Aires,Mateo Acosta,4,1,,0,72.73,
60,Club Atlético Chacarita Juniors,Hernán Rivero,2,1,,1,64.71,
61,Almirante Brown,Gonzalo Flores,1,4,,0,85,
62,San Miguel,Bruno Ignacio Nasta,1,6,,0,67.39,
63,Los Andes,Guillermo Pereira,1,3,,0,73.79,
64,Estudiantes de Buenos Aires,Franco Emmanuel Caseres,0,3,,1,78,
65,Club Atletico Colón,Gonzalo Bettini,0,0,,0,67.57,
66,Central Norte de Salta,Renzo Paparelli,0,0,,0,58.82,
67,Gimnasia y Esgrima Mendoza,Luciano Cingolani,0,8,,0,61.54,
68,Gimnasia y Esgrima Mendoza,Federico Torres,0,1,,0,73.33,
69,Almirante Brown,Joaquín Borja Velázquez,0,0,,0,82.05,
70,Defensores de Belgrano,Alejandro Medina,0,0,,0,71.79,
71,Temperley,Bruno Duarte,0,2,,0,68.92,
72,Temperley,Ezequiel Mastrolia,0,0,,0,80.95,
73,Colegiales,Federico Marín,0,0,,0,68.97,
74,Alvarado,Fabricio Henricot,0,0,,0,69.77,
75,Almagro,Luis Jérez,0,5,,0,71.43,
76,Estudiantes de Río Cuarto,Alejandro Cabrera,1,3,,0,83.33,
77,Club Atlético Chacarita Juniors,Ricardo Blanco,0,3,,1,68.35,
78,Gimnasia Jujuy,Milton Álvarez,0,0,,0,83.93,
79,Alvarado,Diego Becker,0,11,,0,75,
80,Gimnasia y Esgrima Mendoza,Matías Recalde,0,1,,0,75.64,
81,Patronato,Iván Chaves,0,1,,0,84.21,
82,Colegiales,Emilio Di Fulvio,0,0,,0,75.51,
83,Almagro,Christian Gonzalo Limousin,0,0,,0,88.89,
84,Gimnasia Jujuy,Bruno Palazzo,0,2,,0,60,
85,Deportivo Madryn,Luis Silba,2,2,,0,65.63,
86,Patronato,Julián Marcioni,1,7,,0,77.55,
87,Gimnasia y Tiro de Salta,Jonás Aguirre,1,6,,0,70.1,
88,Alvarado,Juan Pablo Gobetto,1,1,,0,69.23,
89,Club Atletico Colón,Alan Forneris,0,0,,0,83.74,
90,Defensores Unidos,Diego Aguirre,2,2,,0,72,
91,Defensores de Belgrano,Facundo Pons,1,2,,0,81.58,
92,Deportivo Morón,Franco Lorenzon,1,0,,0,78.57,
93,Defensores Unidos,Enzo Trinidad,0,7,,2,63.89,
94,Gimnasia y Esgrima Mendoza,Brian Andrada,0,3,,1,84.62,
95,Almirante Brown,Diego Garcia,0,5,,1,62.86,
96,Temperley,Agustín Lamosa,0,1,,0,76.6,
97,Los Andes,Tomás Andrea Rambert,0,4,,0,66.67,
98,Arsenal de Sarandí,Brandon Sosa,0,0,,0,80.65,
99,Agropecuario Argentino,Juan Sills,0,1,,0,81.82,
100,Racing de Córdoba,Daniel Abello,0,1,,0,78.57,
101,Club Atlético Chacarita Juniors,Nicolás Avellaneda,0,0,,0,81.25,
102,Club Ferro Carril Oeste,Fernando Monetti,0,0,,0,91.58,
103,San Martín de Tucumán,Jesús Miguel Soraire,0,6,,0,78.79,
104,Deportivo Madryn,Facundo Giacopuzzi,0,0,,0,81.82,
105,Estudiantes de Buenos Aires,Matias Budino,0,0,,0,78.13,
106,Chaco For Ever,Pablo Mauricio Rosales,0,4,,0,74.36,
107,Mitre,Brian Mieres,0,5,,0,64.42,
108,Racing de Córdoba,Matías Machado,2,3,,0,61.29,
109,Quilmes Atlético Club,Emanuel Herrera,1,6,,0,67.57,
110,San Martín de Tucumán,Juan Cuevas,1,5,,0,78.95,
111,Gimnasia y Tiro de Salta,Juan Francisco Galetto,1,4,,0,63.77,
112,San Miguel,Brahian Alemán,0,2,,1,63.89,
113,Club Atlético Chacarita Juniors,Alejandro Rebola,0,0,,0,87.88,
114,Güemes,Gonzalo Papa,0,0,,0,84.21,
115,Gimnasia y Tiro de Salta,Manuel Guanini,0,2,,0,83.06,
116,Club Atletico Colón,Nicolás Talpone,0,0,,0,86.72,
117,Alvarado,Agustín Bolívar,0,1,,0,75.53,
118,Chaco For Ever,Santiago Úbeda,0,1,,0,81.82,
119,Gimnasia y Tiro de Salta,Gabriel Díaz,0,0,,0,87.61,
120,Patronato,Julián Navas Granados,0,2,,0,76.47,
121,Club Ferro Carril Oeste,Facundo Rivero,0,0,,0,83.33,
122,Mitre,Facundo Melillan,0,0,,0,91.53,
123,Atlanta,Leonardo Flores,0,6,,0,70.59,
124,Colegiales,Santiago Strasorier,0,0,,0,67.95,
125,San Miguel,Ariel Kippes,0,3,,0,82.22,
126,Deportivo Morón,Facundo Héctor Báez,0,7,,0,42.86,
127,Almirante Brown,Ramiro Martinez,0,0,,0,80,
128,Club Atlético Chacarita Juniors,Maximiliano Meléndez,1,4,,0,66.07,
129,Chaco For Ever,Franco Perinciolo,1,6,,0,69.84,
130,Agropecuario Argentino,Alejandro Melo,0,3,,1,58.46,
131,Gimnasia y Esgrima Mendoza,Imanol González,0,0,,0,82.52,
132,Tristán Suárez,Misael Tarón,0,1,,0,82.05,
133,Deportivo Madryn,Bruno Juncos,0,6,,0,79.07,
134,Gimnasia Jujuy,Guillermo Cosaro,0,0,,0,78.36,
135,Güemes,Nahuel Pezzini,0,0,,0,90,
