0,1,2,3,4,5,6,7,8
1,,Pablo Ruiz,2,8,,1,78.38,
2,,Luciano Pacco,0,4,,0,77.78,
3,,Agustín Araujo,0,13,,1,74.7,
4,,Leonardo Marinucci,0,11,,2,74.67,
5,,Nicolas Diego Dematei,0,3,,0,82.96,
6,,German Gaston Diaz,0,11,,1,74.11,
7,,Tiago Libares,0,1,,0,80.33,
8,,Juan Rago,0,0,,0,81.25,
9,,Federico Recalde,0,5,,1,87.5,
10,,Alan Bonansea,2,3,,1,70.21,
11,,Cristian Bernardi,0,11,,2,75,
12,,Nazareno Solis,0,8,,0,79.13,
13,,Lucas Ríos,0,10,,0,70.69,
14,,Darío Sand,0,0,,0,75.44,
15,,Facundo Nadalín,0,1,,1,84.85,
16,,Gastón Gerzel,2,12,,0,54.43,
17,,Maximiliano Romero,3,0,,0,69.57,
18,,Gustavo Fernández,0,7,,0,72.22,
19,,Nicolás Thaller,0,0,,0,80.82,
20,,Gastón Canuto,0,0,,0,84.21,
