0,1,2,3,4,5,6,7,8
1,,Facundo Horacio Sánchez,,,0,0,0,
2,,Esteban Fernández,,0,,,,
3,,Facundo Pereyra,,0,,,,
4,,Bruno Nasta,,0,,,,
5,,Alexander Sosa,,0,,,,
6,,Augustin Paz,,0,,,,
7,,Ariel Castellano,,1,,,,
8,,Jeremias James,,0,,,,
9,,Francisco Marco,,0,4,66.67,0,
10,,Roman Rodriguez,,0,,,,
11,,Lucas Monzón,,0,,,,
12,,Alexis Steimbach,,0,,,,
13,,Tomas Rambert,,0,,,,
14,,Diego Perea,,0,,,,
15,,Nicolás Tolosa,,0,0,0,0,
16,,Nicolás Gómez,,0,0,0,0,
17,,Elias Calderón,,0,0,0,0,
18,,Mateo Pérez,,0,,,,
19,,Facundo Masuero,,0,,,,
20,,Joaquín Ibáñez,,0,,,,
